dataset,instance,bsk_instance,size,lower_bound,makespan,gap_percent,makespan_gap,status,message
vdata,la01,la01_vdata,10 x 5,570,1745,206.14,1745(206.14%),ok,
vdata,la02,la02_vdata,10 x 5,529,1610,204.35,1610(204.35%),ok,
vdata,la03,la03_vdata,10 x 5,477,1215,154.72,1215(154.72%),ok,
vdata,la04,la04_vdata,10 x 5,502,1197,138.45,1197(138.45%),ok,
vdata,la05,la05_vdata,10 x 5,457,1357,196.94,1357(196.94%),ok,
vdata,la06,la06_vdata,15 x 5,799,2236,179.85,2236(179.85%),ok,
vdata,la07,la07_vdata,15 x 5,749,2073,176.77,2073(176.77%),ok,
vdata,la08,la08_vdata,15 x 5,765,1823,138.30,1823(138.30%),ok,
vdata,la09,la09_vdata,15 x 5,853,2321,172.10,2321(172.10%),ok,
vdata,la10,la10_vdata,15 x 5,804,2022,151.49,2022(151.49%),ok,
vdata,la11,la11_vdata,20 x 5,1071,2641,146.59,2641(146.59%),ok,
vdata,la12,la12_vdata,20 x 5,936,2421,158.65,2421(158.65%),ok,
vdata,la13,la13_vdata,20 x 5,1038,2515,142.29,2515(142.29%),ok,
vdata,la14,la14_vdata,20 x 5,1070,2505,134.11,2505(134.11%),ok,
vdata,la15,la15_vdata,20 x 5,1089,2890,165.38,2890(165.38%),ok,
vdata,la16,la16_vdata,10 x 10,717,2492,247.56,2492(247.56%),ok,
vdata,la17,la17_vdata,10 x 10,646,2247,247.83,2247(247.83%),ok,
vdata,la18,la18_vdata,10 x 10,663,2732,312.07,2732(312.07%),ok,
vdata,la19,la19_vdata,10 x 10,617,2212,258.51,2212(258.51%),ok,
vdata,la20,la20_vdata,10 x 10,756,1902,151.59,1902(151.59%),ok,
vdata,la21,la21_vdata,15 x 10,800,3324,315.50,3324(315.50%),ok,
vdata,la22,la22_vdata,15 x 10,733,3154,330.29,3154(330.29%),ok,
vdata,la23,la23_vdata,15 x 10,809,3497,332.26,3497(332.26%),ok,
vdata,la24,la24_vdata,15 x 10,773,3805,392.24,3805(392.24%),ok,
vdata,la25,la25_vdata,15 x 10,751,3562,374.30,3562(374.30%),ok,
vdata,la26,la26_vdata,20 x 10,1052,4226,301.71,4226(301.71%),ok,
vdata,la27,la27_vdata,20 x 10,1084,4418,307.56,4418(307.56%),ok,
vdata,la28,la28_vdata,20 x 10,1069,4776,346.77,4776(346.77%),ok,
vdata,la29,la29_vdata,20 x 10,993,4223,325.28,4223(325.28%),ok,
vdata,la30,la30_vdata,20 x 10,1068,5659,429.87,5659(429.87%),ok,
vdata,la31,la31_vdata,30 x 10,1520,6758,344.61,6758(344.61%),ok,
vdata,la32,la32_vdata,30 x 10,1657,6804,310.62,6804(310.62%),ok,
vdata,la33,la33_vdata,30 x 10,1497,6478,332.73,6478(332.73%),ok,
vdata,la34,la34_vdata,30 x 10,1535,6166,301.69,6166(301.69%),ok,
vdata,la35,la35_vdata,30 x 10,1549,6725,334.15,6725(334.15%),ok,
vdata,la36,la36_vdata,15 x 15,948,4894,416.24,4894(416.24%),ok,
vdata,la37,la37_vdata,15 x 15,986,5785,486.71,5785(486.71%),ok,
vdata,la38,la38_vdata,15 x 15,943,5181,449.42,5181(449.42%),ok,
vdata,la39,la39_vdata,15 x 15,922,5291,473.86,5291(473.86%),ok,
vdata,la40,la40_vdata,15 x 15,955,4966,420.00,4966(420.00%),ok,
brandimarte,mk01,mk01,10 x 6,40,73,82.50,73(82.50%),ok,
brandimarte,mk02,mk02,10 x 6,26,46,76.92,46(76.92%),ok,
brandimarte,mk03,mk03,15 x 8,204,330,61.76,330(61.76%),ok,
brandimarte,mk04,mk04,15 x 8,60,188,213.33,188(213.33%),ok,
brandimarte,mk05,mk05,15 x 4,172,210,22.09,210(22.09%),ok,
brandimarte,mk06,mk06,10 x 10,57,101,77.19,101(77.19%),ok,
brandimarte,mk07,mk07,20 x 5,139,217,56.12,217(56.12%),ok,
brandimarte,mk08,mk08,20 x 10,523,594,13.58,594(13.58%),ok,
brandimarte,mk09,mk09,20 x 10,307,461,50.16,461(50.16%),ok,
brandimarte,mk10,mk10,20 x 15,189,408,115.87,408(115.87%),ok,
