dataset,instance,bsk_instance,size,lower_bound,makespan,gap_percent,makespan_gap,status,message
vdata,la01,la01_vdata,10 x 5,570,635,11.40,635(11.40%),ok,
vdata,la02,la02_vdata,10 x 5,529,558,5.48,558(5.48%),ok,
vdata,la03,la03_vdata,10 x 5,477,537,12.58,537(12.58%),ok,
vdata,la04,la04_vdata,10 x 5,502,558,11.16,558(11.16%),ok,
vdata,la05,la05_vdata,10 x 5,457,510,11.60,510(11.60%),ok,
vdata,la06,la06_vdata,15 x 5,799,829,3.75,829(3.75%),ok,
vdata,la07,la07_vdata,15 x 5,749,777,3.74,777(3.74%),ok,
vdata,la08,la08_vdata,15 x 5,765,837,9.41,837(9.41%),ok,
vdata,la09,la09_vdata,15 x 5,853,928,8.79,928(8.79%),ok,
vdata,la10,la10_vdata,15 x 5,804,874,8.71,874(8.71%),ok,
vdata,la11,la11_vdata,20 x 5,1071,1114,4.01,1114(4.01%),ok,
vdata,la12,la12_vdata,20 x 5,936,984,5.13,984(5.13%),ok,
vdata,la13,la13_vdata,20 x 5,1038,1065,2.60,1065(2.60%),ok,
vdata,la14,la14_vdata,20 x 5,1070,1170,9.35,1170(9.35%),ok,
vdata,la15,la15_vdata,20 x 5,1089,1155,6.06,1155(6.06%),ok,
vdata,la16,la16_vdata,10 x 10,717,738,2.93,738(2.93%),ok,
vdata,la17,la17_vdata,10 x 10,646,646,0.00,646(0.00%),ok,
vdata,la18,la18_vdata,10 x 10,663,706,6.49,706(6.49%),ok,
vdata,la19,la19_vdata,10 x 10,617,708,14.75,708(14.75%),ok,
vdata,la20,la20_vdata,10 x 10,756,756,0.00,756(0.00%),ok,
vdata,la21,la21_vdata,15 x 10,800,889,11.12,889(11.12%),ok,
vdata,la22,la22_vdata,15 x 10,733,822,12.14,822(12.14%),ok,
vdata,la23,la23_vdata,15 x 10,809,940,16.19,940(16.19%),ok,
vdata,la24,la24_vdata,15 x 10,773,866,12.03,866(12.03%),ok,
vdata,la25,la25_vdata,15 x 10,751,843,12.25,843(12.25%),ok,
vdata,la26,la26_vdata,20 x 10,1052,1120,6.46,1120(6.46%),ok,
vdata,la27,la27_vdata,20 x 10,1084,1181,8.95,1181(8.95%),ok,
vdata,la28,la28_vdata,20 x 10,1069,1116,4.40,1116(4.40%),ok,
vdata,la29,la29_vdata,20 x 10,993,1068,7.55,1068(7.55%),ok,
vdata,la30,la30_vdata,20 x 10,1068,1117,4.59,1117(4.59%),ok,
vdata,la31,la31_vdata,30 x 10,1520,1582,4.08,1582(4.08%),ok,
vdata,la32,la32_vdata,30 x 10,1657,1747,5.43,1747(5.43%),ok,
vdata,la33,la33_vdata,30 x 10,1497,1543,3.07,1543(3.07%),ok,
vdata,la34,la34_vdata,30 x 10,1535,1558,1.50,1558(1.50%),ok,
vdata,la35,la35_vdata,30 x 10,1549,1604,3.55,1604(3.55%),ok,
vdata,la36,la36_vdata,15 x 15,948,1031,8.76,1031(8.76%),ok,
vdata,la37,la37_vdata,15 x 15,986,1091,10.65,1091(10.65%),ok,
vdata,la38,la38_vdata,15 x 15,943,961,1.91,961(1.91%),ok,
vdata,la39,la39_vdata,15 x 15,922,981,6.40,981(6.40%),ok,
vdata,la40,la40_vdata,15 x 15,955,955,0.00,955(0.00%),ok,
brandimarte,mk01,mk01,10 x 6,40,47,17.50,47(17.50%),ok,
brandimarte,mk02,mk02,10 x 6,26,34,30.77,34(30.77%),ok,
brandimarte,mk03,mk03,15 x 8,204,222,8.82,222(8.82%),ok,
brandimarte,mk04,mk04,15 x 8,60,82,36.67,82(36.67%),ok,
brandimarte,mk05,mk05,15 x 4,172,191,11.05,191(11.05%),ok,
brandimarte,mk06,mk06,10 x 10,57,74,29.82,74(29.82%),ok,
brandimarte,mk07,mk07,20 x 5,139,170,22.30,170(22.30%),ok,
brandimarte,mk08,mk08,20 x 10,523,531,1.53,531(1.53%),ok,
brandimarte,mk09,mk09,20 x 10,307,344,12.05,344(12.05%),ok,
brandimarte,mk10,mk10,20 x 15,189,247,30.69,247(30.69%),ok,
