dataset,instance,bsk_instance,size,lower_bound,makespan,gap_percent,makespan_gap,status,message
vdata,la01,la01_vdata,10 x 5,570,584,2.46,584(2.46%),ok,
vdata,la02,la02_vdata,10 x 5,529,542,2.46,542(2.46%),ok,
vdata,la03,la03_vdata,10 x 5,477,491,2.94,491(2.94%),ok,
vdata,la04,la04_vdata,10 x 5,502,521,3.78,521(3.78%),ok,
vdata,la05,la05_vdata,10 x 5,457,468,2.41,468(2.41%),ok,
vdata,la06,la06_vdata,15 x 5,799,807,1.00,807(1.00%),ok,
vdata,la07,la07_vdata,15 x 5,749,761,1.60,761(1.60%),ok,
vdata,la08,la08_vdata,15 x 5,765,770,0.65,770(0.65%),ok,
vdata,la09,la09_vdata,15 x 5,853,861,0.94,861(0.94%),ok,
vdata,la10,la10_vdata,15 x 5,804,809,0.62,809(0.62%),ok,
vdata,la11,la11_vdata,20 x 5,1071,1079,0.75,1079(0.75%),ok,
vdata,la12,la12_vdata,20 x 5,936,942,0.64,942(0.64%),ok,
vdata,la13,la13_vdata,20 x 5,1038,1046,0.77,1046(0.77%),ok,
vdata,la14,la14_vdata,20 x 5,1070,1077,0.65,1077(0.65%),ok,
vdata,la15,la15_vdata,20 x 5,1089,1095,0.55,1095(0.55%),ok,
vdata,la16,la16_vdata,10 x 10,717,717,0.00,717(0.00%),ok,
vdata,la17,la17_vdata,10 x 10,646,646,0.00,646(0.00%),ok,
vdata,la18,la18_vdata,10 x 10,663,663,0.00,663(0.00%),ok,
vdata,la19,la19_vdata,10 x 10,617,624,1.13,624(1.13%),ok,
vdata,la20,la20_vdata,10 x 10,756,756,0.00,756(0.00%),ok,
vdata,la21,la21_vdata,15 x 10,800,852,6.50,852(6.50%),ok,
vdata,la22,la22_vdata,15 x 10,733,790,7.78,790(7.78%),ok,
vdata,la23,la23_vdata,15 x 10,809,864,6.80,864(6.80%),ok,
vdata,la24,la24_vdata,15 x 10,773,820,6.08,820(6.08%),ok,
vdata,la25,la25_vdata,15 x 10,751,811,7.99,811(7.99%),ok,
vdata,la26,la26_vdata,20 x 10,1052,1087,3.33,1087(3.33%),ok,
vdata,la27,la27_vdata,20 x 10,1084,1119,3.23,1119(3.23%),ok,
vdata,la28,la28_vdata,20 x 10,1069,1112,4.02,1112(4.02%),ok,
vdata,la29,la29_vdata,20 x 10,993,1037,4.43,1037(4.43%),ok,
vdata,la30,la30_vdata,20 x 10,1068,1107,3.65,1107(3.65%),ok,
vdata,la31,la31_vdata,30 x 10,1520,1550,1.97,1550(1.97%),ok,
vdata,la32,la32_vdata,30 x 10,1657,1688,1.87,1688(1.87%),ok,
vdata,la33,la33_vdata,30 x 10,1497,1523,1.74,1523(1.74%),ok,
vdata,la34,la34_vdata,30 x 10,1535,1556,1.37,1556(1.37%),ok,
vdata,la35,la35_vdata,30 x 10,1549,1566,1.10,1566(1.10%),ok,
vdata,la36,la36_vdata,15 x 15,948,948,0.00,948(0.00%),ok,
vdata,la37,la37_vdata,15 x 15,986,1000,1.42,1000(1.42%),ok,
vdata,la38,la38_vdata,15 x 15,943,943,0.00,943(0.00%),ok,
vdata,la39,la39_vdata,15 x 15,922,925,0.33,925(0.33%),ok,
vdata,la40,la40_vdata,15 x 15,955,955,0.00,955(0.00%),ok,
brandimarte,mk01,mk01,10 x 6,40,42,5.00,42(5.00%),ok,
brandimarte,mk02,mk02,10 x 6,26,31,19.23,31(19.23%),ok,
brandimarte,mk03,mk03,15 x 8,204,204,0.00,204(0.00%),ok,
brandimarte,mk04,mk04,15 x 8,60,67,11.67,67(11.67%),ok,
brandimarte,mk05,mk05,15 x 4,172,177,2.91,177(2.91%),ok,
brandimarte,mk06,mk06,10 x 10,57,68,19.30,68(19.30%),ok,
brandimarte,mk07,mk07,20 x 5,139,153,10.07,153(10.07%),ok,
brandimarte,mk08,mk08,20 x 10,523,523,0.00,523(0.00%),ok,
brandimarte,mk09,mk09,20 x 10,307,315,2.61,315(2.61%),ok,
brandimarte,mk10,mk10,20 x 15,189,231,22.22,231(22.22%),ok,
