dataset,instance,bsk_instance,size,lower_bound,makespan,gap_percent,makespan_gap,status,message
vdata,la01,la01_vdata,10 x 5,570,589,3.33,589(3.33%),ok,
vdata,la02,la02_vdata,10 x 5,529,610,15.31,610(15.31%),ok,
vdata,la03,la03_vdata,10 x 5,477,519,8.81,519(8.81%),ok,
vdata,la04,la04_vdata,10 x 5,502,597,18.92,597(18.92%),ok,
vdata,la05,la05_vdata,10 x 5,457,474,3.72,474(3.72%),ok,
vdata,la06,la06_vdata,15 x 5,799,842,5.38,842(5.38%),ok,
vdata,la07,la07_vdata,15 x 5,749,780,4.14,780(4.14%),ok,
vdata,la08,la08_vdata,15 x 5,765,834,9.02,834(9.02%),ok,
vdata,la09,la09_vdata,15 x 5,853,876,2.70,876(2.70%),ok,
vdata,la10,la10_vdata,15 x 5,804,827,2.86,827(2.86%),ok,
vdata,la11,la11_vdata,20 x 5,1071,1112,3.83,1112(3.83%),ok,
vdata,la12,la12_vdata,20 x 5,936,959,2.46,959(2.46%),ok,
vdata,la13,la13_vdata,20 x 5,1038,1055,1.64,1055(1.64%),ok,
vdata,la14,la14_vdata,20 x 5,1070,1117,4.39,1117(4.39%),ok,
vdata,la15,la15_vdata,20 x 5,1089,1121,2.94,1121(2.94%),ok,
vdata,la16,la16_vdata,10 x 10,717,717,0.00,717(0.00%),ok,
vdata,la17,la17_vdata,10 x 10,646,646,0.00,646(0.00%),ok,
vdata,la18,la18_vdata,10 x 10,663,663,0.00,663(0.00%),ok,
vdata,la19,la19_vdata,10 x 10,617,633,2.59,633(2.59%),ok,
vdata,la20,la20_vdata,10 x 10,756,756,0.00,756(0.00%),ok,
vdata,la21,la21_vdata,15 x 10,800,861,7.62,861(7.62%),ok,
vdata,la22,la22_vdata,15 x 10,733,791,7.91,791(7.91%),ok,
vdata,la23,la23_vdata,15 x 10,809,864,6.80,864(6.80%),ok,
vdata,la24,la24_vdata,15 x 10,773,820,6.08,820(6.08%),ok,
vdata,la25,la25_vdata,15 x 10,751,845,12.52,845(12.52%),ok,
vdata,la26,la26_vdata,20 x 10,1052,1094,3.99,1094(3.99%),ok,
vdata,la27,la27_vdata,20 x 10,1084,1119,3.23,1119(3.23%),ok,
vdata,la28,la28_vdata,20 x 10,1069,1112,4.02,1112(4.02%),ok,
vdata,la29,la29_vdata,20 x 10,993,1082,8.96,1082(8.96%),ok,
vdata,la30,la30_vdata,20 x 10,1068,1122,5.06,1122(5.06%),ok,
vdata,la31,la31_vdata,30 x 10,1520,1558,2.50,1558(2.50%),ok,
vdata,la32,la32_vdata,30 x 10,1657,1703,2.78,1703(2.78%),ok,
vdata,la33,la33_vdata,30 x 10,1497,1527,2.00,1527(2.00%),ok,
vdata,la34,la34_vdata,30 x 10,1535,1558,1.50,1558(1.50%),ok,
vdata,la35,la35_vdata,30 x 10,1549,1574,1.61,1574(1.61%),ok,
vdata,la36,la36_vdata,15 x 15,948,948,0.00,948(0.00%),ok,
vdata,la37,la37_vdata,15 x 15,986,1001,1.52,1001(1.52%),ok,
vdata,la38,la38_vdata,15 x 15,943,943,0.00,943(0.00%),ok,
vdata,la39,la39_vdata,15 x 15,922,925,0.33,925(0.33%),ok,
vdata,la40,la40_vdata,15 x 15,955,955,0.00,955(0.00%),ok,
brandimarte,mk01,mk01,10 x 6,40,44,10.00,44(10.00%),ok,
brandimarte,mk02,mk02,10 x 6,26,32,23.08,32(23.08%),ok,
brandimarte,mk03,mk03,15 x 8,204,204,0.00,204(0.00%),ok,
brandimarte,mk04,mk04,15 x 8,60,74,23.33,74(23.33%),ok,
brandimarte,mk05,mk05,15 x 4,172,186,8.14,186(8.14%),ok,
brandimarte,mk06,mk06,10 x 10,57,73,28.07,73(28.07%),ok,
brandimarte,mk07,mk07,20 x 5,139,157,12.95,157(12.95%),ok,
brandimarte,mk08,mk08,20 x 10,523,533,1.91,533(1.91%),ok,
brandimarte,mk09,mk09,20 x 10,307,331,7.82,331(7.82%),ok,
brandimarte,mk10,mk10,20 x 15,189,233,23.28,233(23.28%),ok,
