dataset,instance,bsk_instance,size,lower_bound,makespan,gap_percent,makespan_gap,status,message
vdata,la01,la01_vdata,10 x 5,570,581,1.93,581(1.93%),ok,
vdata,la02,la02_vdata,10 x 5,529,538,1.70,538(1.70%),ok,
vdata,la03,la03_vdata,10 x 5,477,493,3.35,493(3.35%),ok,
vdata,la04,la04_vdata,10 x 5,502,517,2.99,517(2.99%),ok,
vdata,la05,la05_vdata,10 x 5,457,472,3.28,472(3.28%),ok,
vdata,la06,la06_vdata,15 x 5,799,829,3.75,829(3.75%),ok,
vdata,la07,la07_vdata,15 x 5,749,758,1.20,758(1.20%),ok,
vdata,la08,la08_vdata,15 x 5,765,771,0.78,771(0.78%),ok,
vdata,la09,la09_vdata,15 x 5,853,861,0.94,861(0.94%),ok,
vdata,la10,la10_vdata,15 x 5,804,808,0.50,808(0.50%),ok,
vdata,la11,la11_vdata,20 x 5,1071,1076,0.47,1076(0.47%),ok,
vdata,la12,la12_vdata,20 x 5,936,943,0.75,943(0.75%),ok,
vdata,la13,la13_vdata,20 x 5,1038,1047,0.87,1047(0.87%),ok,
vdata,la14,la14_vdata,20 x 5,1070,1074,0.37,1074(0.37%),ok,
vdata,la15,la15_vdata,20 x 5,1089,1091,0.18,1091(0.18%),ok,
vdata,la16,la16_vdata,10 x 10,717,717,0.00,717(0.00%),ok,
vdata,la17,la17_vdata,10 x 10,646,646,0.00,646(0.00%),ok,
vdata,la18,la18_vdata,10 x 10,663,663,0.00,663(0.00%),ok,
vdata,la19,la19_vdata,10 x 10,617,623,0.97,623(0.97%),ok,
vdata,la20,la20_vdata,10 x 10,756,756,0.00,756(0.00%),ok,
vdata,la21,la21_vdata,15 x 10,800,852,6.50,852(6.50%),ok,
vdata,la22,la22_vdata,15 x 10,733,779,6.28,779(6.28%),ok,
vdata,la23,la23_vdata,15 x 10,809,850,5.07,850(5.07%),ok,
vdata,la24,la24_vdata,15 x 10,773,809,4.66,809(4.66%),ok,
vdata,la25,la25_vdata,15 x 10,751,813,8.26,813(8.26%),ok,
vdata,la26,la26_vdata,20 x 10,1052,1080,2.66,1080(2.66%),ok,
vdata,la27,la27_vdata,20 x 10,1084,1108,2.21,1108(2.21%),ok,
vdata,la28,la28_vdata,20 x 10,1069,1103,3.18,1103(3.18%),ok,
vdata,la29,la29_vdata,20 x 10,993,1035,4.23,1035(4.23%),ok,
vdata,la30,la30_vdata,20 x 10,1068,1112,4.12,1112(4.12%),ok,
vdata,la31,la31_vdata,30 x 10,1520,1549,1.91,1549(1.91%),ok,
vdata,la32,la32_vdata,30 x 10,1657,1685,1.69,1685(1.69%),ok,
vdata,la33,la33_vdata,30 x 10,1497,1519,1.47,1519(1.47%),ok,
vdata,la34,la34_vdata,30 x 10,1535,1555,1.30,1555(1.30%),ok,
vdata,la35,la35_vdata,30 x 10,1549,1563,0.90,1563(0.90%),ok,
vdata,la36,la36_vdata,15 x 15,948,948,0.00,948(0.00%),ok,
vdata,la37,la37_vdata,15 x 15,986,1000,1.42,1000(1.42%),ok,
vdata,la38,la38_vdata,15 x 15,943,943,0.00,943(0.00%),ok,
vdata,la39,la39_vdata,15 x 15,922,925,0.33,925(0.33%),ok,
vdata,la40,la40_vdata,15 x 15,955,955,0.00,955(0.00%),ok,
brandimarte,mk01,mk01,10 x 6,40,42,5.00,42(5.00%),ok,
brandimarte,mk02,mk02,10 x 6,26,31,19.23,31(19.23%),ok,
brandimarte,mk03,mk03,15 x 8,204,204,0.00,204(0.00%),ok,
brandimarte,mk04,mk04,15 x 8,60,68,13.33,68(13.33%),ok,
brandimarte,mk05,mk05,15 x 4,172,181,5.23,181(5.23%),ok,
brandimarte,mk06,mk06,10 x 10,57,73,28.07,73(28.07%),ok,
brandimarte,mk07,mk07,20 x 5,139,153,10.07,153(10.07%),ok,
brandimarte,mk08,mk08,20 x 10,523,523,0.00,523(0.00%),ok,
brandimarte,mk09,mk09,20 x 10,307,315,2.61,315(2.61%),ok,
brandimarte,mk10,mk10,20 x 15,189,230,21.69,230(21.69%),ok,
